TRAINER_AARON	BAGON:34
TRAINER_WATTSON_4	RAICHU:44,AMPHAROS:46,ELECTRODE:46,MAGNETON:48,MANECTRIC:50
TRAINER_WATTSON_5	ELECTABUZZ:50,RAICHU:51,AMPHAROS:51,ELECTRODE:53,MAGNETON:53,MANECTRIC:55
TRAINER_WAYNE	TENTACOOL:31,TENTACOOL:31,WAILMER:36
TRAINER_WENDY	MAWILE:29,ROSELIA:29,PELIPPER:29
TRAINER_WILLIAM	RALTS:26,RALTS:26,KIRLIA:26
TRAINER_WILTON_1	ELECTRIKE:17,WAILMER:17,MAKUHITA:17
TRAINER_WILTON_2	ELECTRIKE:26,WAILMER:26,MAKUHITA:26
TRAINER_WILTON_3	MANECTRIC:29,WAILMER:29,MAKUHITA:29
TRAINER_WILTON_4	MANECTRIC:32,WAILMER:32,MAKUHITA:32
TRAINER_WILTON_5	MANECTRIC:35,WAILMER:35,HARIYAMA:35
TRAINER_WINONA_1	SWABLU:29,TROPIUS:29,PELIPPER:30,SKARMORY:31,ALTARIA:33
TRAINER_WINONA_2	DRATINI:40,TROPIUS:38,PELIPPER:41,SKARMORY:43,ALTARIA:45
TRAINER_WINONA_3	HOOTHOOT:43,TROPIUS:43,DRAGONAIR:45,PELIPPER:46,SKARMORY:48,ALTARIA:50
TRAINER_WINONA_4	NOCTOWL:48,TROPIUS:49,DRAGONAIR:50,PELIPPER:51,SKARMORY:53,ALTARIA:55
TRAINER_WINONA_5	NOCTOWL:53,TROPIUS:54,PELIPPER:55,DRAGONITE:55,SKARMORY:58,ALTARIA:60
TRAINER_WINSTON_1	ZIGZAGOON:7
TRAINER_WINSTON_2	LINOONE:27
TRAINER_WINSTON_3	LINOONE:30
TRAINER_WINSTON_4	LINOONE:33
TRAINER_WINSTON_5	LINOONE:36
TRAINER_WYATT	ARON:18,ARON:18
TRAINER_YASU	NINJASK:26
TRAINER_YUJI	MAKUHITA:26,MACHOKE:26
TRAINER_ZANDER	HARIYAMA:31
